,address,country,detailedType.subTypology,detailedType.typology,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,showAddress,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url,features
2098,"calle de Còrsega, 646",es,compactCar,garage,2884,Sant Martí,False,,,False,False,False,False,False,41.4107494,2.1785475,Barcelona,El Camp de l'Arpa del Clot,False,,5,rent,70.0,9.0,81338907,garage,Barcelona,True,"El Camp de l'Arpa del Clot, Barcelona","Garaje en calle de Còrsega, 646",https://img3.idealista.com/blur/WEB_LISTING/180/id.pro.es.image.master/8a/1b/56/574947461.jpg,https://www.idealista.com/inmueble/81338907/,"['Plaza para coche pequeño', '8 m²', 'Cubierta', ' Puerta automática de garaje ']"
2099,"calle d'Arizala, 68",es,compactCar,garage,4204,Les Corts,False,,,False,False,False,False,False,41.3787201,2.1237232999999995,Barcelona,La Maternitat i Sant Ramon,False,,2,rent,85.0,9.0,81291478,garage,Barcelona,True,"La Maternitat i Sant Ramon, Barcelona","Garaje en calle d'Arizala, 68",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/d2/e7/574023229.jpg,https://www.idealista.com/inmueble/81291478/,"['Plaza para coche pequeño', '10 m²', ' Puerta automática de garaje ']"
2100,"plaza d'Urquinaona, 17",es,compactCar,garage,433,Ciutat Vella,False,,,False,False,True,False,False,41.3889873,2.1737147,Barcelona,Sant Pere - Santa Caterina i la Ribera,False,,5,rent,100.0,14.0,81291013,garage,Barcelona,True,"Sant Pere - Santa Caterina i la Ribera, Barcelona","Garaje en plaza d'Urquinaona, 17",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f4/23/e4/574014089.jpg,https://www.idealista.com/inmueble/81291013/,"['Plaza para coche pequeño', '7 m²', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ', ' Alarma ', ' Cámaras de seguridad ']"
2101,"calle del Dos de Maig, 260",es,compactCar,garage,2710,Sant Martí,False,,,False,False,False,False,False,41.4089699,2.1800200000000003,Barcelona,El Camp de l'Arpa del Clot,False,,6,rent,75.0,,81288378,garage,Barcelona,True,"El Camp de l'Arpa del Clot, Barcelona","Garaje en calle del Dos de Maig, 260",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c0/af/a2/573971792.jpg,https://www.idealista.com/inmueble/81288378/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
2102,"calle del Rosselló, 47",es,carAndMotorcycle,garage,2351,Eixample,False,,,False,False,False,False,False,41.3843028,2.1452305,Barcelona,La Nova Esquerra de l'Eixample,False,,5,rent,85.0,,35832248,garage,Barcelona,True,"La Nova Esquerra de l'Eixample, Barcelona","Garaje en calle del Rosselló, 47",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/38/fa/187467228.jpg,https://www.idealista.com/inmueble/35832248/,"['Plaza para coche y moto', 'Cubierta', ' Puerta automática de garaje ']"
2103,barrio Les Planes,es,motorcycle,garage,5303,La Florida - Les Planes,False,AVE170613M,bj,False,False,False,False,False,41.368835,2.1136429,Hospitalet de Llobregat,Les Planes,False,,2,rent,35.0,12.0,81255875,garage,Barcelona,False,"Les Planes, Hospitalet de Llobregat",Garaje,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e7/06/6d/573261853.jpg,https://www.idealista.com/inmueble/81255875/,[]
2104,"rambla de Guipúscoa, 10 -12",es,compactCar,garage,3531,Sant Martí,False,,,False,False,False,False,False,41.4131169,2.1933325,Barcelona,El Clot,False,,2,rent,80.0,,40525985,garage,Barcelona,True,"El Clot, Barcelona","Garaje en rambla de Guipúscoa, 10 -12",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/35/b5/c7/283511036.jpg,https://www.idealista.com/inmueble/40525985/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
2105,"calle Joventut, 18 -20",es,compactCar,garage,4828,Collblanc,False,,,False,False,False,False,False,41.3722293,2.1181243,Hospitalet de Llobregat,Collblanc,False,,3,rent,70.0,,34849869,garage,Barcelona,True,"Collblanc, Hospitalet de Llobregat","Garaje en calle Joventut, 18 -20",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/a4/59/170622701.jpg,https://www.idealista.com/inmueble/34849869/,"['Plaza para coche pequeño', 'Cubierta', ' Puerta automática de garaje ']"
2106,"calle Muntaner, 533",es,motorcycle,garage,3793,Sarrià-Sant Gervasi,False,,,False,False,True,False,False,41.4044511,2.1359429,Barcelona,Sant Gervasi - La Bonanova,False,,5,rent,27.0,,2387397,garage,Barcelona,True,"Sant Gervasi - La Bonanova, Barcelona","Garaje en calle Muntaner, 533",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/e8/3f/203945875.jpg,https://www.idealista.com/inmueble/2387397/,"['Plaza para moto', 'Cubierta', 'Con ascensor', ' Puerta automática de garaje ']"
2107,"calle de Roger de Flor, 57",es,motorcycle,garage,1041,Eixample,False,,,False,False,False,False,False,41.39311890000001,2.1798597,Barcelona,El Fort Pienc,False,,4,rent,30.0,15.0,40396500,garage,Barcelona,True,"El Fort Pienc, Barcelona","Garaje en calle de Roger de Flor, 57",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/95/20/280698026.jpg,https://www.idealista.com/inmueble/40396500/,"['Plaza para moto', '2 m²', 'Cubierta', ' Puerta automática de garaje ', ' Cámaras de seguridad ']"
